"Пожалуйста, выберите вариант стрижки, а ниже заполните анкету исходя из опыта - параметры клиента, которого вы стригли одним из приведенных способов",Возраст,Форма Лица,Структура волос,Густота волос,Длина волос,Цвет волос,Среднее время на укладку(минут в день),Образ жизни,Стиль,Телосложение,Стиль одежды,Использование укладочных средств,Тип укладки,Использование фена,Unnamed: 16,Unnamed: 17,Unnamed: 18
Крю-кат,19-28,Овальная,Прямые,Низкая,Короткие,Рыжий,0(не укладываете),Спортивный/Активный,Экспериментатор,Спортивное,Casual,Да,Четкая-монолитная,Да,Нет,Нет,Никогда
Французкий кроп,13-18,Овальная,Волнистые,Средняя,Средние,Шатен,10-30,Творческий,Смешанный,Спортивное,Casual,Да,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Базз-кат,19-28,Квадратная,Волнистые,Средняя,Короткие,Блонд,0(не укладываете),Деловой,Экспериментатор,Спортивное,Casual,Да,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Каскад,13-18,Квадратная,Прямые,Высокая,Длинные,Седой,30-40 минут ,Спортивный/Активный,Смешанный,Среднее,Casual,Да,Естественная,Да,Да,Нет,Никогда
Крю-кат,29-45,Овальная,Прямые,Низкая,Короткие,Брюнет,1-10,Спокойный,Экспериментатор,Худощавое,Casual,Да,Четкая-монолитная,Да,Нет,Нет,Редко
Каскад,0-12,Овальная,Волнистые,Низкая,Средние,Блонд,10-30,Деловой,Минималист,Спортивное,Деловой,Нет,Четкая-монолитная,Да,Нет,Нет,Никогда
Маллет,29-45,Круглая,Волнистые,Низкая,Средние,Блонд,10-30,Спортивный/Активный,Экспериментатор,Худощавое,Casual,Да,Неряшливо-растрепанная,Да,Да,Нет,Никогда
Шэг,0-12,Прямоугольная,Волнистые,Средняя,Средние,Шатен,10-30,Спортивный/Активный,Экспериментатор,Худощавое,Casual,Да,Неряшливо-растрепанная,Да,Уже длинные,Нет,Никогда
Классика,13-18,Овальная,Прямые,Высокая,Короткие,Шатен,1-10,Спортивный/Активный,Экспериментатор,Спортивное,Спортивный,Да,Естественная,Да,Нет,Нет,Раз в месяц
Классика,29-45,Овальная,Волнистые,Высокая,Короткие,Шатен,1-10,Спортивный/Активный,Экспериментатор,Среднее,Casual,Нет,Неряшливо-растрепанная,Нет,Да,Нет,Никогда
Крю-кат,29-45,Треугольная,Волнистые,Низкая,Короткие,Блонд,10-30,Спортивный/Активный,Экспериментатор,Спортивное,Деловой,Да,Неряшливо-растрепанная,Да,Уже длинные,Нет,Раз в месяц
Базз-кат,13-18,Ромбовидная,Волнистые,Средняя,Короткие,Блонд,0(не укладываете),Творческий,Минималист,Среднее,Уличный,Нет,Естественная,Да,Нет,Нет,Раз в месяц
Каскад,0-12,Ромбовидная,Волнистые,Высокая,Длинные,Блонд,30 минут ,Творческий,Смешанный,Спортивное,Casual,Нет,Неряшливо-растрепанная,Нет,Нет,Нет,Раз в месяц
Классика,0-12,Квадратная,Волнистые,Средняя,Средние,Шатен,10-30,Спортивный/Активный,Экспериментатор,Спортивное,Casual,Нет,Неряшливо-растрепанная,Нет,Уже длинные,Нет,Никогда
Классика,19-28,Прямоугольная,Прямые,Средняя,Короткие,Шатен,1-10,Спортивный/Активный,Экспериментатор,Плотное,Casual,Да,Неряшливо-растрепанная,Нет,Нет,Нет,Редко
Французкий кроп,19-28,Овальная,Прямые,Средняя,Короткие,Блонд,1-10,Спокойный,Экспериментатор,Среднее,Деловой,Да,Четкая-монолитная,Да,Нет,Нет,Никогда
Андеркат,29-45,Овальная,Прямые,Высокая,Короткие,Блонд,0(не укладываете),Творческий,Минималист,Спортивное,Спортивный,Да,Естественная,Да,Нет,Нет,Редко
Классика,29-45,Овальная,Прямые,Средняя,Средние,Шатен,10-30,Спортивный/Активный,Экспериментатор,Худощавое,Уличный,Да,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Базз-кат,29-45,Овальная,Прямые,Средняя,Короткие,Блонд,0(не укладываете),Спортивный/Активный,Экспериментатор,Спортивное,Casual,Да,Естественная,Да,Да,Нет,Никогда
Крю-кат,0-12,Овальная,Прямые,Средняя,Короткие,Шатен,1-10,Деловой,Экспериментатор,Спортивное,Полу классика ,Да,Естественная,Да,Нет,Нет,Никогда
Классика,19-28,Ромбовидная,Прямые,Низкая,Короткие,Брюнет,0(не укладываете),Спокойный,Экспериментатор,Среднее,Спортивный,Да,Естественная,Да,Уже длинные,Нет,Редко
Маллет,19-28,Овальная,Волнистые,Средняя,Средние,Брюнет,25 минут ,Деловой,Экспериментатор,Спортивное,Casual,Нет,Естественная,Да,Уже длинные,Нет,Раз в месяц
Ман-бун,46+,Треугольная,Волнистые,Средняя,Длинные,Брюнет,10-30,Творческий,Смешанный,Плотное,Спортивный,Да,Четкая-монолитная,Да,Уже длинные,Нет,Раз в месяц
Шэг,29-45,Ромбовидная,Волнистые,Средняя,Средние,Брюнет,1-10,Спортивный/Активный,Экспериментатор,Спортивное,Спортивный,Да,Четкая-монолитная,Да,Нет,Нет,Раз в месяц
Серферская укладка,19-28,Прямоугольная,Прямые,Высокая,Средние,Блонд,30-40 минут ,Спортивный/Активный,Смешанный,Среднее,Уличный,Нет,Четкая-монолитная,Да,Нет,Нет,Раз в месяц
Серферская укладка,19-28,Овальная,Волнистые,Низкая,Средние,Брюнет,10-30,Спортивный/Активный,Смешанный,Среднее,Casual,Да,Естественная,Да,Уже длинные,Нет,Никогда
Классика,13-18,Ромбовидная,Волнистые,Низкая,Короткие,Шатен,0(не укладываете),Спортивный/Активный,Экспериментатор,Худощавое,Casual,Нет,Естественная,Нет,Уже длинные,Нет,Никогда
Крю-кат,19-28,Квадратная,Прямые,Низкая,Короткие,Шатен,0(не укладываете),Творческий,Экспериментатор,Худощавое,Casual,Да,Неряшливо-растрепанная,Да,Нет,Нет,Никогда
Классика,13-18,Прямоугольная,Прямые,Низкая,Средние,Блонд,30-40 минут ,Спортивный/Активный,Экспериментатор,Спортивное,Casual,Да,Четкая-монолитная,Да,Нет,Нет,Никогда
Шэг,13-18,Ромбовидная,Прямые,Низкая,Средние,Брюнет,10-30,Спортивный/Активный,Экспериментатор,Спортивное,Casual,Да,Естественная,Да,Да,Нет,Раз в месяц
Маллет,19-28,Овальная,Прямые,Низкая,Средние,Шатен,30-40 минут ,Спортивный/Активный,Минималист,Спортивное,Уличный,Да,Четкая-монолитная,Да,Да,Нет,Редко
Маллет,19-28,Квадратная,Прямые,Средняя,Средние,Шатен,30-40 минут ,Творческий,Экспериментатор,Спортивное,Casual,Да,Четкая-монолитная,Да,Нет,Нет,Раз в месяц
Маллет,0-12,Прямоугольная,Прямые,Средняя,Средние,Брюнет,10-30,Творческий,Экспериментатор,Спортивное,Спортивный,Да,Неряшливо-растрепанная,Да,Нет,Нет,Никогда
Маллет,19-28,Овальная,Прямые,Средняя,Средние,Блонд,1-10,Творческий,Экспериментатор,Худощавое,Casual,Да,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Шторки,19-28,Овальная,Прямые,Средняя,Длинные,Шатен,10-30,Спортивный/Активный,Экспериментатор,Среднее,Уличный,Да,Неряшливо-растрепанная,Нет,Нет,Нет,Раз в месяц
Ман-бун,46+,Прямоугольная,Прямые,Низкая,Длинные,Блонд,20,Спортивный/Активный,Экспериментатор,Худощавое,Casual,Да,Неряшливо-растрепанная,Да,Нет,Нет,Редко
Базз-кат,19-28,Ромбовидная,Кудрявые,Средняя,Короткие,Блонд,1-10,Спортивный/Активный,Минималист,Спортивное,Casual,Да,Неряшливо-растрепанная,Да,Уже длинные,Нет,Никогда
Андеркат,29-45,Квадратная,Прямые,Низкая,Средние,Блонд,30 минут ,Спортивный/Активный,Экспериментатор,Спортивное,Casual,Нет,Естественная,Да,Да,Нет,Редко
Помпадур,19-28,Овальная,Прямые,Средняя,Длинные,Брюнет,10-30,Деловой,Экспериментатор,Среднее,Casual,Да,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Каскад,19-28,Овальная,Прямые,Низкая,Средние,Блонд,25 минут ,Спортивный/Активный,Экспериментатор,Спортивное,Уличный,Да,Естественная,Нет,Нет,Нет,Никогда
Базз-кат,13-18,Овальная,Прямые,Средняя,Короткие,Блонд,0(не укладываете),Спортивный/Активный,Экспериментатор,Спортивное,Casual,Да,Четкая-монолитная,Да,Нет,Нет,Редко
Каскад,0-12,Овальная,Прямые,Средняя,Средние,Блонд,10-30,Спортивный/Активный,Экспериментатор,Спортивное,Casual,Да,Естественная,Да,Нет,Нет,Раз в месяц
Шторки,19-28,Овальная,Прямые,Средняя,Длинные,Шатен,20,Творческий,Экспериментатор,Спортивное,Спортивный,Да,Четкая-монолитная,Да,Нет,Нет,Редко
Шэг,0-12,Ромбовидная,Прямые,Средняя,Длинные,Блонд,30-40 минут ,Спортивный/Активный,Экспериментатор,Спортивное,Casual,Нет,Естественная,Да,Уже длинные,Нет,Никогда
Помпадур,13-18,Квадратная,Прямые,Средняя,Средние,Брюнет,10-30,Деловой,Смешанный,Спортивное,Casual,Да,Неряшливо-растрепанная,Нет,Нет,Нет,Никогда
Классика,19-28,Овальная,Прямые,Средняя,Короткие,Блонд,1-10,Творческий,Экспериментатор,Спортивное,Casual,Нет,Естественная,Нет,Нет,Нет,Раз в месяц
Классика,0-12,Круглая,Прямые,Средняя,Короткие,Блонд,0(не укладываете),Деловой,Экспериментатор,Спортивное,Любой,Да,Естественная,Да,Нет,Нет,Никогда
Базз-кат,13-18,Овальная,Волнистые,Средняя,Короткие,Блонд,0(не укладываете),Спортивный/Активный,Минималист,Спортивное,Спортивный,Да,Четкая-монолитная,Нет,Нет,Нет,Редко
Крю-кат,13-18,Прямоугольная,Прямые,Низкая,Короткие,Брюнет,1-10,Спортивный/Активный,Экспериментатор,Спортивное,Уличный,Да,Неряшливо-растрепанная,Да,Уже длинные,Нет,Никогда
Шэг,19-28,Ромбовидная,Волнистые,Средняя,Длинные,Блонд,30 минут ,Спортивный/Активный,Экспериментатор,Среднее,Casual,Да,Естественная,Да,Нет,Нет,Никогда
Крю-кат,13-18,Овальная,Прямые,Средняя,Короткие,Шатен,1-10,Спортивный/Активный,Экспериментатор,Спортивное,Спортивный,Да,Естественная,Нет,Нет,Нет,Раз в месяц
Классика,0-12,Квадратная,Прямые,Низкая,Короткие,Блонд,1-10,Деловой,Экспериментатор,Спортивное,Casual,Нет,Четкая-монолитная,Да,Нет,Нет,Редко
Шторки,29-45,Овальная,Кудрявые,Низкая,Длинные,Брюнет,20,Деловой,Экспериментатор,Спортивное,Спортивный,Да,Неряшливо-растрепанная,Да,Да,Нет,Раз в месяц
Базз-кат,19-28,Овальная,Прямые,Средняя,Короткие,Шатен,0(не укладываете),Спортивный/Активный,Экспериментатор,Спортивное,Casual,Нет,Неряшливо-растрепанная,Да,Да,Нет,Никогда
Классика,19-28,Треугольная,Волнистые,Низкая,Средние,Брюнет,10-30,Спортивный/Активный,Экспериментатор,Спортивное,Casual,Нет,Естественная,Да,Нет,Нет,Никогда
Шэг,46+,Овальная,Волнистые,Средняя,Длинные,Брюнет,30-40 минут ,Спортивный/Активный,Экспериментатор,Худощавое,Спортивный,Да,Естественная,Да,Нет,Нет,Раз в месяц
Каскад,13-18,Овальная,Прямые,Средняя,Средние,Брюнет,1-10,Спокойный,Экспериментатор,Среднее,Спортивный,Да,Четкая-монолитная,Да,Нет,Нет,Раз в месяц
Крю-кат,0-12,Ромбовидная,Волнистые,Средняя,Короткие,Шатен,1-10,Спортивный/Активный,Экспериментатор,Спортивное,Уличный,Да,Неряшливо-растрепанная,Нет,Нет,Нет,Раз в месяц
Каскад,46+,Овальная,Прямые,Высокая,Средние,Шатен,10-30,Спортивный/Активный,Смешанный,Спортивное,Casual,Да,Естественная,Да,Нет,Нет,Раз в месяц
Крю-кат,19-28,Овальная,Волнистые,Низкая,Короткие,Шатен,0(не укладываете),Деловой,Экспериментатор,Спортивное,Casual,Да,Неряшливо-растрепанная,Нет,Нет,Нет,Никогда
Серферская укладка,0-12,Ромбовидная,Прямые,Средняя,Длинные,Брюнет,10-30,Спортивный/Активный,Экспериментатор,Спортивное,Casual,Нет,Неряшливо-растрепанная,Да,Да,Нет,Раз в месяц
Базз-кат,0-12,Овальная,Прямые,Низкая,Короткие,Шатен,0(не укладываете),Творческий,Экспериментатор,Спортивное,Casual,Да,Неряшливо-растрепанная,Да,Нет,Нет,Никогда
Французкий кроп,29-45,Квадратная,Прямые,Средняя,Короткие,Брюнет,10-30,Спортивный/Активный,Смешанный,Худощавое,Спортивный,Да,Естественная,Да,Уже длинные,Нет,Редко
Французкий кроп,0-12,Овальная,Волнистые,Низкая,Средние,Брюнет,30 минут ,Спортивный/Активный,Экспериментатор,Спортивное,Деловой,Да,Неряшливо-растрепанная,Да,Нет,Нет,Никогда
Серферская укладка,29-45,Прямоугольная,Прямые,Низкая,Длинные,Шатен,10-30,Спортивный/Активный,Экспериментатор,Спортивное,Casual,Да,Четкая-монолитная,Да,Да,Нет,Раз в месяц
Шэг,13-18,Треугольная,Прямые,Низкая,Длинные,Шатен,20,Спортивный/Активный,Экспериментатор,Спортивное,Casual,Да,Неряшливо-растрепанная,Нет,Нет,Нет,Раз в месяц
Каскад,19-28,Прямоугольная,Волнистые,Средняя,Средние,Шатен,10-30,Творческий,Экспериментатор,Плотное,Casual,Да,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Классика,13-18,Овальная,Прямые,Средняя,Короткие,Брюнет,10-30,Спортивный/Активный,Минималист,Среднее,Уличный,Нет,Четкая-монолитная,Нет,Нет,Нет,Раз в месяц
Классика,46+,Квадратная,Волнистые,Средняя,Средние,Шатен,10-30,Спортивный/Активный,Экспериментатор,Спортивное,Casual,Да,Четкая-монолитная,Да,Нет,Нет,Редко
Шэг,46+,Ромбовидная,Прямые,Высокая,Длинные,Шатен,30 минут ,Спортивный/Активный,Экспериментатор,Спортивное,Деловой,Да,Неряшливо-растрепанная,Да,Нет,Нет,Никогда
Классика,13-18,Овальная,Прямые,Средняя,Короткие,Любой ,1-10,Деловой,Экспериментатор,Худощавое,Casual,Да,Естественная,Нет,Нет,Нет,Никогда
Крю-кат,0-12,Овальная,Кудрявые,Низкая,Короткие,Шатен,0(не укладываете),Спортивный/Активный,Экспериментатор,Спортивное,Casual,Нет,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Каскад,19-28,Овальная,Волнистые,Низкая,Длинные,Шатен,30-40 минут ,Деловой,Экспериментатор,Среднее,Casual,Да,Естественная,Да,Нет,Нет,Раз в месяц
Шэг,19-28,Овальная;Круглая;Квадратная,Прямые,Средняя,Средние,Брюнет,10-30,Спортивный/Активный,Экспериментатор,Спортивное,Casual,Да,Четкая-монолитная,Да,Уже длинные,Нет,Никогда
Французкий кроп,0-12,Ромбовидная,Волнистые,Средняя,Короткие,Шатен,0(не укладываете),Деловой,Экспериментатор,Спортивное,Уличный,Да,Четкая-монолитная,Нет,Да,Нет,Редко
Базз-кат,29-45,Овальная,Прямые,Низкая,Короткие,Блонд,0(не укладываете),Деловой,Экспериментатор,Спортивное,Casual,Нет,Естественная,Да,Нет,Нет,Никогда
Шторки,19-28,Ромбовидная,Прямые,Средняя,Длинные,Брюнет,25 минут ,Спортивный/Активный,Экспериментатор,Спортивное,Casual,Да,Естественная,Да,Нет,Нет,Раз в месяц
Серферская укладка,19-28,Ромбовидная,Прямые,Средняя,Длинные,Любой ,30-40 минут ,Спокойный,Минималист,Среднее,Casual,Да,Неряшливо-растрепанная,Да,Нет,Нет,Никогда
Классика,29-45,Овальная,Волнистые,Средняя,Средние,Брюнет,1-10,Спортивный/Активный,Экспериментатор,Среднее,Деловой,Да,Неряшливо-растрепанная,Да,Нет,Нет,Никогда
Французкий кроп,19-28,Квадратная,Волнистые,Низкая,Короткие,Шатен,1-10,Спокойный,Смешанный,Спортивное,Casual,Да,Четкая-монолитная,Да,Нет,Нет,Раз в месяц
Французкий кроп,0-12,Овальная,Прямые,Средняя,Короткие,Шатен,10-30,Спортивный/Активный,Экспериментатор,Спортивное,Casual,Да,Неряшливо-растрепанная,Да,Нет,Нет,Редко
Крю-кат,46+,Треугольная,Волнистые,Средняя,Короткие,Брюнет,10-30,Спокойный,Экспериментатор,Среднее,Уличный,Да,Неряшливо-растрепанная,Да,Нет,Нет,Редко
Шторки,29-45,Квадратная,Прямые,Средняя,Длинные,Блонд,30 минут ,Деловой,Минималист,Спортивное,Casual,Да,Естественная,Да,Нет,Нет,Никогда
Шэг,13-18,Квадратная,Прямые,Высокая,Длинные,Блонд,30-40 минут ,Деловой,Экспериментатор,Спортивное,Casual,Да,Четкая-монолитная,Да,Нет,Нет,Никогда
Шэг,19-28,Овальная,Волнистые,Средняя,Длинные,Блонд,10-30,Спортивный/Активный,Минималист,Спортивное,Casual,Да,Неряшливо-растрепанная,Нет,Нет,Нет,Раз в месяц
Шэг,29-45,Квадратная,Прямые,Высокая,Длинные,Блонд,30 минут ,Творческий,Минималист,Спортивное,Casual,Да,Неряшливо-растрепанная,Да,Нет,Нет,Редко
Классика,0-12,Ромбовидная,Волнистые,Средняя,Короткие,Блонд,10-30,Спортивный/Активный,Смешанный,Спортивное,Спортивный,Да,Естественная,Да,Нет,Нет,Никогда
Базз-кат,19-28,Ромбовидная,Прямые,Средняя,Короткие,Блонд,1-10,Деловой,Экспериментатор,Среднее,Casual,Нет,Естественная,Нет,Нет,Нет,Никогда
Крю-кат,29-45,Овальная,Прямые,Средняя,Короткие,Брюнет,0(не укладываете),Спокойный,Экспериментатор,Худощавое,Casual,Да,Неряшливо-растрепанная,Нет,Да,Нет,Никогда
Базз-кат,0-12,Овальная,Волнистые,Низкая,Короткие,Шатен,1-10,Деловой,Минималист,Худощавое,Casual,Да,Четкая-монолитная,Нет,Нет,Нет,Никогда
Крю-кат,13-18,Ромбовидная,Волнистые,Средняя,Короткие,Брюнет,1-10,Спортивный/Активный,Экспериментатор,Спортивное,Спортивный,Нет,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Шторки,46+,Овальная,Прямые,Средняя,Длинные,Блонд,10-30,Спортивный/Активный,Минималист,Спортивное,Спортивный,Нет,Неряшливо-растрепанная,Да,Да,Нет,Никогда
Шэг,13-18,Ромбовидная,Волнистые,Низкая,Средние,Брюнет,10-30,Спокойный,Минималист,Среднее,Спортивный,Нет,Неряшливо-растрепанная,Да,Нет,Нет,Никогда
Базз-кат,19-28,Прямоугольная,Прямые,Низкая,Короткие,Блонд,1-10,Деловой,Экспериментатор,Спортивное,Casual,Да,Неряшливо-растрепанная,Нет,Уже длинные,Нет,Раз в месяц
Базз-кат,29-45,Прямоугольная,Прямые,Низкая,Короткие,Шатен,1-10,Спортивный/Активный,Экспериментатор,Худощавое,Casual,Да,Неряшливо-растрепанная,Нет,Нет,Нет,Раз в месяц
Базз-кат,13-18,Овальная,Волнистые,Высокая,Короткие,Шатен,0(не укладываете),Спортивный/Активный,Экспериментатор,Худощавое,Casual,Да,Четкая-монолитная,Да,Нет,Нет,Никогда
Андеркат,19-28,Прямоугольная,Прямые,Средняя,Средние,Блонд,10-30,Спортивный/Активный,Экспериментатор,Спортивное,Уличный,Да,Четкая-монолитная,Да,Нет,Нет,Раз в месяц
Базз-кат,19-28,Ромбовидная,Прямые,Средняя,Короткие,Шатен,0(не укладываете),Спокойный,Смешанный,Спортивное,Спортивный,Да,Неряшливо-растрепанная,Да,Уже длинные,Нет,Раз в месяц
Шторки,0-12,Овальная,Спиральные,Низкая,Длинные,Шатен,30-40 минут ,Спокойный,Экспериментатор,Спортивное,Спортивный,Да,Неряшливо-растрепанная,Нет,Нет,Нет,Раз в месяц
Андеркат,46+,Овальная,Волнистые,Средняя,Средние,Блонд,30-40 минут ,Творческий,Экспериментатор,Спортивное,Casual,Да,Естественная,Да,Да,Нет,Никогда
Классика,46+,Овальная,Прямые,Средняя,Короткие,Шатен,1-10,Спортивный/Активный,Минималист,Спортивное,Casual,Да,Четкая-монолитная,Нет,Да,Нет,Раз в месяц
Шэг,29-45,Ромбовидная,Волнистые,Низкая,Длинные,Шатен,30-40 минут ,Спортивный/Активный,Смешанный,Спортивное,Спортивный,Да,Лёгкая,Да,Да,Нет,Раз в месяц
Шэг,29-45,Овальная,Прямые,Средняя,Длинные,Брюнет,20,Творческий,Экспериментатор,Среднее,Casual,Да,Естественная,Нет,Уже длинные,Нет,Редко
Серферская укладка,29-45,Треугольная,Волнистые,Средняя,Средние,Брюнет,1-10,Спортивный/Активный,Экспериментатор,Спортивное,Спортивный,Да,Неряшливо-растрепанная,Да,Да,Нет,Раз в месяц
Маллет,29-45,Прямоугольная,Волнистые,Низкая,Длинные,Блонд,10-30,Деловой,Экспериментатор,Среднее,Casual,Нет,Четкая-монолитная,Нет,Нет,Нет,Редко
Шэг,29-45,Ромбовидная,Прямые,Средняя,Длинные,Блонд,20,Спортивный/Активный,Экспериментатор,Спортивное,Casual,Да,Неряшливо-растрепанная,Нет,Нет,Нет,Раз в месяц
Классика,19-28,Ромбовидная,Волнистые,Средняя,Средние,Рыжий,1-10,Спортивный/Активный,Минималист,Худощавое,Спортивный,Да,Четкая-монолитная,Да,Нет,Нет,Никогда
Базз-кат,13-18,Треугольная,Прямые,Средняя,Короткие,Блонд,0(не укладываете),Спортивный/Активный,Экспериментатор,Среднее,Спортивный,Да,Неряшливо-растрепанная,Да,Нет,Нет,Никогда
Крю-кат,29-45,Овальная,Волнистые,Низкая,Короткие,Шатен,0(не укладываете),Творческий,Смешанный,Спортивное,Casual,Да,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Андеркат,29-45,Круглая,Прямые,Низкая,Короткие,Шатен,1-10,Спортивный/Активный,Минималист,Спортивное,Casual,Да,Четкая-монолитная,Нет,Нет,Нет,Никогда
Классика,0-12,Овальная,Прямые,Средняя,Короткие,Шатен,10-30,Спортивный/Активный,Экспериментатор,Спортивное,Деловой,Да,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Шэг,46+,Овальная,Волнистые,Низкая,Длинные,Блонд,10-30,Творческий,Смешанный,Худощавое,Casual,Да,Неряшливо-растрепанная,Да,Нет,Нет,Никогда
Серферская укладка,19-28,Овальная,Прямые,Низкая,Средние,Брюнет,30 минут ,Спортивный/Активный,Смешанный,Спортивное,Casual,Да,Неряшливо-растрепанная,Да,Нет,Нет,Никогда
Классика,29-45,Квадратная,Прямые,Средняя,Средние,Шатен,10-30,Деловой,Смешанный,Спортивное,Спортивный,Да,Четкая-монолитная,Нет,Нет,Нет,Раз в месяц
Помпадур,0-12,Ромбовидная,Прямые,Высокая,Средние,Брюнет,30 минут ,Спортивный/Активный,Экспериментатор,Спортивное,Casual,Да,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Каскад,13-18,Прямоугольная,Волнистые,Средняя,Средние,Шатен,10-30,Спортивный/Активный,Минималист,Спортивное,Деловой,Нет,Неряшливо-растрепанная,Да,Нет,Нет,Редко
Каскад,0-12,Овальная,Волнистые,Низкая,Длинные,Шатен,30-40 минут ,Спокойный,Экспериментатор,Худощавое,Casual,Да,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Андеркат,0-12,Квадратная,Волнистые,Средняя,Средние,Брюнет,30 минут ,Деловой,Смешанный,Среднее,Деловой,Да,Естественная,Нет,Да,Нет,Никогда
Французкий кроп,13-18,Квадратная,Прямые,Средняя,Средние,Брюнет,25 минут ,Деловой,Смешанный,Плотное,Casual,Да,Неряшливо-растрепанная,Нет,Уже длинные,Нет,Раз в месяц
Классика,19-28,Овальная,Кудрявые,Высокая,Средние,Брюнет,10-30,Спортивный/Активный,Смешанный,Спортивное,Спортивный,Да,Неряшливо-растрепанная,Да,Нет,Нет,Никогда
Андеркат,13-18,Прямоугольная,Прямые,Низкая,Средние,Седой,10-30,Спортивный/Активный,Смешанный,Спортивное,Спортивный,Да,Естественная,Нет,Нет,Нет,Никогда
Классика,29-45,Овальная,Волнистые,Средняя,Средние,Шатен,10-30,Деловой,Экспериментатор,Худощавое,Спортивный,Да,Неряшливо-растрепанная,Нет,Да,Нет,Раз в месяц
Французкий кроп,19-28,Квадратная,Прямые,Высокая,Короткие,Блонд,10-30,Спортивный/Активный,Экспериментатор,Спортивное,Уличный,Да,Четкая-монолитная,Да,Уже длинные,Нет,Никогда
Шторки,29-45,Треугольная,Прямые,Высокая,Длинные,Блонд,30-40 минут ,Деловой,Минималист,Спортивное,Спортивный,Нет,Четкая-монолитная,Нет,Нет,Нет,Раз в месяц
Шэг,19-28,Овальная,Волнистые,Средняя,Длинные,Шатен,30-40 минут ,Спортивный/Активный,Экспериментатор,Спортивное,Уличный,Да,Неряшливо-растрепанная,Да,Да,Нет,Никогда
Классика,29-45,Круглая,Волнистые,Высокая,Короткие,русый,10-30,Деловой,Экспериментатор,Спортивное,Уличный,Нет,Четкая-монолитная,Да,Да,Нет,Никогда
Классика,0-12,Овальная,Прямые,Высокая,Средние,Брюнет,30-40 минут ,Спортивный/Активный,Экспериментатор,Спортивное,Спортивный,Да,Четкая-монолитная,Да,Нет,Нет,Никогда
Базз-кат,29-45,Квадратная,Волнистые,Средняя,Короткие,Блонд,0(не укладываете),Спокойный,Экспериментатор,Спортивное,Уличный,Да,Четкая-монолитная,Да,Уже длинные,Нет,Раз в месяц
Помпадур,0-12,Овальная,Прямые,Средняя,Средние,Блонд,1-10,Спортивный/Активный,Минималист,Худощавое,Casual,Да,Естественная,Да,Да,Нет,Никогда
Базз-кат,0-12,Прямоугольная,Прямые,Низкая,Короткие,Шатен,10-30,Спортивный/Активный,Смешанный,Спортивное,Спортивный,Да,Четкая-монолитная,Да,Нет,Нет,Редко
Шторки,19-28,Овальная,Волнистые,Средняя,Длинные,Блонд,20,Спортивный/Активный,Экспериментатор,Спортивное,Casual,Да,Естественная,Да,Нет,Нет,Раз в месяц
Серферская укладка,19-28,Овальная,Волнистые,Высокая,Средние,Шатен,30 минут ,Деловой,Минималист,Спортивное,Спортивный,Да,Четкая-монолитная,Да,Нет,Нет,Никогда
Крю-кат,19-28,Овальная,Волнистые,Средняя,Короткие,Брюнет,0(не укладываете),Спортивный/Активный,Экспериментатор,Спортивное,Спортивный,Нет,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Серферская укладка,0-12,Овальная,Прямые,Средняя,Длинные,русый,30-40 минут ,Спокойный,Экспериментатор,Спортивное,Спортивный,Да,Естественная,Нет,Нет,Нет,Раз в месяц
Крю-кат,29-45,Круглая,Волнистые,Высокая,Короткие,Рыжий,10-30,Спортивный/Активный,Минималист,Плотное,Спортивный,Нет,Неряшливо-растрепанная,Нет,Уже длинные,Нет,Раз в месяц
Помпадур,19-28,Ромбовидная,Прямые,Средняя,Длинные,Блонд,10-30,Творческий,Минималист,Худощавое,Casual,Да,Четкая-монолитная,Да,Да,Нет,Раз в месяц
Базз-кат,29-45,Ромбовидная,Прямые,Низкая,Короткие,Шатен,10-30,Деловой,Экспериментатор,Спортивное,Уличный,Да,Естественная,Да,Нет,Нет,Раз в месяц
Крю-кат,19-28,Треугольная,Прямые,Средняя,Короткие,Шатен,10-30,Деловой,Смешанный,Спортивное,Casual,Да,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
Классика,19-28,Овальная,Кудрявые,Средняя,Средние,Брюнет,1-10,Творческий,Смешанный,Среднее,Деловой,Да,Естественная,Нет,Да,Нет,Раз в месяц
Помпадур,19-28,Овальная,Волнистые,Средняя,Длинные,Блонд,30-40 минут ,Спортивный/Активный,Экспериментатор,Спортивное,Casual,Нет,Неряшливо-растрепанная,Да,Нет,Нет,Раз в месяц
